SITE_ID,SITE_NAME,MUNICIPIO,GEN_LAT,GEN_LONG
1,bajo de patillas,patillas,17.975683,-65.989847
2,higuey,aguadilla,18.419877,-67.155979
3,tres hermanos,anasco,18.283198,-67.190221
4,asociacion de pescadores,canovanas,18.390278,-65.911667
5,mameyal,dorado,18.476035,-66.277895
6,balneario punta guilarte,arroyo,17.963805,-66.037867
7,maunabo,maunabo,17.991245,-65.888635
8,la puntilla,catano,18.441614,-66.125198
9,torrecilla,carolina,18.45375,-65.983972
10,cano tiburones (muellecito),arecibo,18.4671753,-66.6335312
11,club nautico de arecibo,arecibo,18.475693,-66.697506
12,club nautico de san juan,san juan,18.46016,-66.088508
13,puerto nuevo,vega baja,18.484917,-66.384917
14,playa de santa isabel,santa isabel,17.956314,-66.410716
15,comunidad guardarraya,patillas,17.973056,-65.946111
16,cooperativa de torrecillas,loiza,18.453682,-65.983932
17,barrio espinal,aguada,18.407854,-67.171732
18,el membrillo,camuy,18.4899071,-66.8579774
19,guaniquilla barrio,aguada,18.394251,-67.192421
20,palmas altas,barceloneta,18.488211,-66.560594
21,laguna levitown,toa baja,18.459457,-66.193958
22,laguna tortuguero,vega baja,18.460316,-66.42547
23,las croabas,fajardo,18.363606,-65.625704
24,los machos,ceiba,18.262657,-65.630048
25,playa las palmas,arroyo,17.961347,-66.064175
26,soltero puerto real,cabo rojo,18.074871,-67.187805
27,puerto real,cabo rojo,18.074683,-67.188483
28,marina puerto del rey,fajardo,18.284853,-65.632781
29,playa de guayanes,yabucoa,18.063617,-65.816194
30,vietnam,catano,18.441427,-66.112169
31,bahia de guanica,guanica,17.963907,-66.905267
32,bahia de guayanilla,guayanilla,18.006529,-66.7678
33,parcelas vieques,loiza,18.423194,-65.829778
34,jobos,guayama,17.950405,-66.180633
35,barrio barrero,rincon,18.305237,-67.238472
36,punta candelero,humacao,18.076386,-65.798319
37,calle hoare,san juan,18.445819,-66.083436
38,cerro gordo,vega alta,18.480817,-66.34155
39,la coal,san juan,18.462139,-66.102222
40,boqueron rampa,cabo rojo,18.026381,-67.175216
41,puerto mosquito,rio grande,18.392944,-65.812583
42,punta papayo,lajas,17.97281,-67.027814
43,pastillo,juana diaz,17.9903,-66.48327
44,el faro cabo rojo,cabo rojo,17.947318,-67.193363
45,la parguera,lajas,17.974016,-67.052073
46,la parguera rampa,lajas,17.974118,-67.054995
47,la princesa,san juan,18.463111,-66.118639
48,tallaboa,penuelas,17.98989,-66.716153
49,playa de ponce,ponce,17.981533,-66.622992
50,playa de salinas,salinas,17.959656,-66.298127
51,punta pozuelo,guayama,17.938067,-66.185261
52,punta santiago,humacao,18.164666,-65.743732
53,salinas providencia,guanica,17.935427,-66.955679
54,ostiones,cabo rojo,18.094672,-67.194902
55,palo seco shore,catano,18.455385,-66.151412
56,parque colon aguadilla,aguadilla,18.4131255,-67.1622891
57,punta penon,camuy,18.49045,-66.867483
58,playuela,aguadilla,18.459112,-67.164371
59,playa el corcho,naguabo,18.203333,-65.668889
60,playa jauca,santa isabel,17.965278,-66.365278
61,playa jobos isabela,isabela,18.5128687,-67.0771521
62,hucares,naguabo,18.186914,-65.710703
63,playa lucia,yabucoa,18.040278,-65.834444
64,playa pena blanca,aguadilla,18.4721766,-67.168419
65,playa shacks,isabela,18.5148029,-67.100665
66,puerto yabucoa,yabucoa,18.049408,-65.834372
67,punta borinquen,aguadilla,18.4905151,-67.1558562
68,punta embarcadero,luquillo,18.387633,-65.727731
69,punta vacia talega,loiza,18.45189,-65.905998
70,jarealito,arecibo,18.47843,-66.693023
71,arecibo rampa,arecibo,18.477933,-66.699767
72,el combate,cabo rojo,17.981764,-67.214146
73,rampa isla de cabras,catano,18.471847,-66.137204
74,rampa palmas altas,barceloneta,18.4882727,-66.5605781
75,fortuna,luquillo,18.380194,-65.742972
76,rampa rompeolas,arecibo,18.477951,-66.699873
77,el seco rampa,mayaguez,18.212228,-67.158479
78,barrio bajura,isabela,18.5097,-67.020842
79,rincon,rincon,18.344367,-67.259917
80,barrio tamarindo,aguadilla,18.435,-67.155907
81,barrio los machos,ceiba,18.270546,-65.630416
82,san juan bay marina,san juan,18.458217,-66.087443
83,barrio sardinera,fajardo,18.346148,-65.636464
84,seven seas beach,fajardo,18.369811,-65.634275
85,maternillo,fajardo,18.332455,-65.627744
86,twin bridges & shore,naguabo,18.187222,-65.726667
87,villa marina,fajardo,18.340416,-65.639813
